code,locale,name,descr
244,fr,name-10380519,descr-10380519
244,ru,name-10380520,descr-10380520
313,ja,name-27214876,descr-27214876
313,tr,name-27214877,descr-27214877
314,de,name-21869399,descr-21869399
314,ro,name-21869400,descr-21869400
315,cs,name-29246489,descr-29246489
315,da,name-29246490,descr-29246490
316,th,name-5752485,descr-5752485
316,cs,name-5752486,descr-5752486
317,it,name-20444786,descr-20444786
317,nl,name-20444787,descr-20444787
318,cs,name-25858608,descr-25858608
319,en,name-4105455,descr-4105455
319,de,name-4105456,descr-4105456
320,ja,name-16828338,descr-16828338
320,ms,name-16828339,descr-16828339
321,nl,name-474713,descr-474713
321,cs,name-474714,descr-474714
