book_ID,ID,number,createdAt,createdBy,modifiedAt,modifiedBy
20764812-f583-4570-817f-a6a0c36385cb,17832462-8ab3-4bf1-85f8-a27e60b69453,53,2011-11-05T00:00:00.000Z,createdBy.am7m6@example.org,2015-12-31T00:00:00.000Z,modifiedBy.am7m6@example.org
20764812-f583-4570-817f-a6a0c36385cb,17832463-f032-4046-9804-cf7b9fdb98fa,90,2010-06-19T00:00:00.000Z,createdBy.am7m7@example.com,2000-03-26T00:00:00.000Z,modifiedBy.am7m7@example.org
2076482f-813a-4f27-8473-b7b75f5fcd20,11704538-e505-4da4-b2d8-109f35bbcc72,67,2014-03-31T00:00:00.000Z,createdBy.6yva2@example.com,2013-12-23T00:00:00.000Z,modifiedBy.6yva2@example.net
2076482f-813a-4f27-8473-b7b75f5fcd20,11704539-aa3b-47fb-ab34-c6955b6c625f,26,2023-07-28T00:00:00.000Z,createdBy.6yva3@example.org,2021-02-17T00:00:00.000Z,modifiedBy.6yva3@example.net
20764830-85f4-4bbc-861a-cc6cb761858b,16050224-4590-4c5d-baa0-63ad848472c1,13,2023-01-30T00:00:00.000Z,createdBy.9k0fk@example.net,2001-07-12T00:00:00.000Z,modifiedBy.9k0fk@example.com
20764830-85f4-4bbc-861a-cc6cb761858b,16050225-3f1b-4d13-908e-1e46c6ab72d0,71,2010-04-17T00:00:00.000Z,createdBy.9k0fl@example.net,2007-09-15T00:00:00.000Z,modifiedBy.9k0fl@example.com
2076484c-c35d-4607-9a8f-f608418c22d2,53708948-5e01-44cd-9512-04a74af51009,5,2017-09-03T00:00:00.000Z,createdBy.3747i@example.com,2010-06-05T00:00:00.000Z,modifiedBy.3747i@example.com
2076484c-c35d-4607-9a8f-f608418c22d2,53708956-1715-4c0f-a5a3-d898a3ecd53f,13,2009-10-29T00:00:00.000Z,createdBy.3747j@example.net,2022-07-09T00:00:00.000Z,modifiedBy.3747j@example.org
20764850-9dca-44f7-97d2-61ac7ece98c0,19658293-991f-49c8-be60-17594183f9b1,7,2023-12-09T00:00:00.000Z,createdBy.bpcfp@example.com,2015-05-06T00:00:00.000Z,modifiedBy.bpcfp@example.org
20764850-9dca-44f7-97d2-61ac7ece98c0,19658294-3786-4910-bcb3-8cf81d14257f,81,2001-11-04T00:00:00.000Z,createdBy.bpcfq@example.net,2018-12-16T00:00:00.000Z,modifiedBy.bpcfq@example.com
2076486f-257d-4c4f-b85d-0da029faac9f,13839932-5d0d-4b80-9063-48e9fc1531c2,74,2023-06-04T00:00:00.000Z,createdBy.88myk@example.com,2015-05-22T00:00:00.000Z,modifiedBy.88myk@example.com
2076486f-257d-4c4f-b85d-0da029faac9f,13839933-70e4-47bc-b1cc-ef06cf4f79a1,97,2002-10-15T00:00:00.000Z,createdBy.88myl@example.com,2016-02-23T00:00:00.000Z,modifiedBy.88myl@example.net
2076487c-6278-4e5f-9945-a3b32deb6265,14343679-0fd0-4344-86ed-9bfc5b2cca1a,37,2000-03-11T00:00:00.000Z,createdBy.8jfnj@example.org,2001-04-14T00:00:00.000Z,modifiedBy.8jfnj@example.org
2076487c-6278-4e5f-9945-a3b32deb6265,14343680-2e34-47b6-8230-9233407d02ed,19,2017-02-27T00:00:00.000Z,createdBy.8jfnk@example.net,2020-11-16T00:00:00.000Z,modifiedBy.8jfnk@example.org
20764882-237a-4254-a3f8-f738a78e03d5,22392819-a071-45c9-9a1a-7a1010e1e54e,14,2008-11-01T00:00:00.000Z,createdBy.dbyer@example.org,2009-01-11T00:00:00.000Z,modifiedBy.dbyer@example.org
20764882-237a-4254-a3f8-f738a78e03d5,22392820-9bd9-402e-b138-4b62c0ea9e3e,66,2010-01-18T00:00:00.000Z,createdBy.dbyes@example.net,2002-03-21T00:00:00.000Z,modifiedBy.dbyes@example.com
20764891-5430-47ef-a99e-f3e176e15554,21175614-a33e-4e33-80b6-763bbfeb7981,17,2022-03-08T00:00:00.000Z,createdBy.clv7i@example.net,2020-10-05T00:00:00.000Z,modifiedBy.clv7i@example.com
20764891-5430-47ef-a99e-f3e176e15554,21175615-a4e1-42b3-9363-dc30be53eb76,99,2003-06-30T00:00:00.000Z,createdBy.clv7j@example.com,2016-06-05T00:00:00.000Z,modifiedBy.clv7j@example.com
20764900-b04b-433e-901e-9ba5b59bfc32,29171846-7494-4af5-977d-f8e44e5da32e,38,2007-10-08T00:00:00.000Z,createdBy.hd952@example.com,2023-05-30T00:00:00.000Z,modifiedBy.hd952@example.com
20764900-b04b-433e-901e-9ba5b59bfc32,29171847-5627-4cb7-83e4-32b9198a0511,51,2022-01-03T00:00:00.000Z,createdBy.hd953@example.net,2012-04-30T00:00:00.000Z,modifiedBy.hd953@example.org
